This is Bill Lange. I'm Dave Gallo.	大卫.盖罗：这位是比尔.兰格， 我是大卫.盖罗。
And then we had some hint that these things existed all along the axis of it, because if you've got volcanism, water's going to get down from the sea into cracks in the sea floor, come in contact with magma, and come shooting out hot.	后来我们发现了这些物质 存在于它的轴心周围，因为假如你知道这里有火山运动， 这些液体会流向海底并且进入海床的裂缝， 和岩浆汇合，然后喷出热浪。
We weren't really aware that it would be so rich with sulfides, hydrogen sulfides.	我们真没想到硫化氢的含量会这么高。
We didn't have any idea about these things, which we call chimneys.	我们当初根本不知道这些是什么，我们叫它们烟囱。
This is one of these hydrothermal vents.	这是这些热液出口中的一个。
Six hundred degree F water coming out of the Earth.	300多度的液体从地里涌出。
On either side of us are mountain ranges that are higher than the Alps, so the setting here is very dramatic.	我们两侧的山脊都比阿尔卑斯山高， 所以说这的地形是惊人的。
The white material is a type of bacteria that thrives at 180 degrees C.	比尔：这些白色的物质是一种细菌 它能在180度的高温下生存。
I think that's one of the greatest stories right now that we're seeing from the bottom of the sea, is that the first thing we see coming out of the sea floor after a volcanic eruption is bacteria.	大卫：现在我们要讲一个最不可思议的故事 我们现在看到的是 我们最开始看到的从海底冒出来的 火山喷发后的细菌。
And we started to wonder for a long time, how did it all get down there?	我们开始想 它为什么在那里？
What we find out now is that it's probably coming from inside the Earth.	我们现在知道它可能是来自地球内部。
Not only is it coming out of the Earth -- so, biogenesis made from volcanic activity -- but that bacteria supports these colonies of life.	它不仅从地球里出来－－ 它的生物源来自于火山活动－－ 但这些细菌供养群居在这里的生物。
The pressure here is 4,000 pounds per square inch.	这里的压力是平均每平方英尺4000磅。
A mile and a half from the surface to two miles to three miles -- no sun has ever gotten down here.	离地表一点五英里，两三英里深 没有任何阳光的照射。
All the energy to support these life forms is coming from inside the Earth -- so, chemosynthesis.	支撑所有的生命形式的能量 都来自地球内部－那些化学合成物。
And you can see how dense the population is.	你可以看到这的生物密度是多大。
These are called tube worms.	它们被叫做管道蠕虫。
These worms have no digestive system.	比尔：这些蠕虫没有消化系统。
They have no mouth.	它们没有嘴。
But they have two types of gill structures.	但它们有两种腮组织。
One for extracting oxygen out of the deep-sea water, another one which houses this chemosynthetic bacteria, which takes the hydrothermal fluid -- that hot water that you saw coming out of the bottom -- and converts that into simple sugars that the tube worm can digest.	一种可以从深海液体中吸收氧气， 另一种吞近这些 靠热液生存的化合细菌 就是这些从海底冒出来的热水－－ 然后再转化成管道蠕虫可以消化的简单糖份。
You can see, here's a crab that lives down there.	大卫：你可以看到－这是一只生活在这里的螃蟹。
He's managed to grab a tip of these worms.	它能钳住蠕虫的一小部分。
Now, they normally retract as soon as a crab touches them.	它们通常一碰到螃蟹就缩回去。
Oh!	恩！
Good going.	厉害。
So, as soon as a crab touches them, they retract down into their shells, just like your fingernails.	所以，一旦螃蟹碰到它们 它们就缩回壳里，就像指甲。
There's a whole story being played out here that we're just now beginning to have some idea of because of this new camera technology.	这样的故事被一一展开 我们只是开始对它们有些认识 全都靠这个新的摄影技术。
These worms live in a real temperature extreme.	比尔：这些蠕虫都生活在这样极端的温度下。
Their foot is at about 200 degrees C and their head is out at three degrees C, so it's like having your hand in boiling water and your foot in freezing water.	它们的脚有大概200度 它们的头是3度左右， 这就像是你的手放在沸水中而你的脚在冰水里。
That's how they like to live.	它们就是这样生活的。
This is a female of this kind of worm.	大卫：这是一只雌性蠕虫。
And here's a male.	这只是雄性的。
You watch.	你看着。
It doesn't take long before two guys here -- this one and one that will show up over here -- start to fight.	用不着多久 它们两就会出现在这－开始打斗。
Everything you see is played out in the pitch black of the deep sea.	你所看到的都是在深海最漆黑的地方进行的，
There are never any lights there, except the lights that we bring.	除了我们带来过的光线之外没有任何其他的光线。
Here they go.	看这里。
On one of the last dive series, we counted 200 species in these areas -- 198 were new, new species.	在过去的潜水系列中有一次 我们在这个区域里找到200种物种。 198种都是新的物种。
One of the big problems is that for the biologists working at these sites, it's rather difficult to collect these animals.	比尔：对生物学家来说最大的问题之一 是在这些地点工作，更不用说采集物种。
And they disintegrate on the way up, so the imagery is critical for the science.	因为采集上来它们就会破裂， 所以这些影像对科学来说是至关重要的。
Two octopods at about two miles depth.	大卫：这是两条在两英里深处的章鱼。
This pressure thing really amazes me -- that these animals can exist there at a depth with pressure enough to crush the Titanic like an empty Pepsi can.	这里的压力真的让我很吃惊， 这些动物居然可以在这样的深度生存 这里的压力足够把泰坦尼克号压成一只空百事可乐罐。
What we saw up till now was from the Pacific.	直到现在我们看到的都来自太平洋。
This is from the Atlantic.	这些是来自大西洋。
Even greater depth.	而且更深。
You can see this shrimp is harassing this poor little guy here, and he'll bat it away with his claw.	你可以看到这只虾正在骚扰这个可怜的小东西 它会用它的爪子反抗。
Whack!	嗷！
And the same thing's going on over here.	类似的故事一只在发生。
What they're getting at is that -- on the back of this crab -- the foodstuff here is this very strange bacteria that lives on the backs of all these animals.	它们在这只蟹背上能获得的是 这种很奇怪的细菌类的食物 它生长在这些动物的背上。
And what these shrimp are trying to do is actually harvest the bacteria from the backs of these animals.	而这些虾 其实正在这些动物的背上收割细菌。
And the crabs don't like it at all.	这些螃蟹可不喜欢这样。
These long filaments that you see on the back of the crab are actually created by the product of that bacteria.	这些蟹背上的长的细丝 是由这种细菌组成的
So, the bacteria grows hair on the crab.	所以细菌可以在蟹背上长出毛来。
On the back, you see this again.	现在你又看到了同样的在发生。
The red dot is the laser light of the submarine Alvin to give us an idea about how far away we are from the vents.	这个红点是潜水艇Alvin号腹下的镭射灯 能让我们感觉到我们离喷出口有多远。
Those are all shrimp.	这些都是虾。
You see the hot water over here, here and here, coming out.	你可以看到热液从这儿，这儿还有这儿冒出来。
They're clinging to a rock face and actually scraping bacteria off that rock face.	它们会粘在岩石的表面 并从岩石表面把细菌扒下来。
Here's a tiny, little vent that's come out of the side of that pillar.	这里有一个很小的出口在那个很大的柱子上。
Those pillars get up to several stories.	这些柱子可以有几层楼高。
So here, you've got this valley with this incredible alien landscape of pillars and hot springs and volcanic eruptions and earthquakes, inhabited by these very strange animals that live only on chemical energy coming out of the ground.	现在你可以看到这样一个难以置信景色鬼魅的峡谷 这里有在这样的柱子，热泉，火山喷发和地震， 这些奇异的动物就生活在这里 靠地里冒出的化学能量为生。
They don't need the sun at all.	它们毫不需要阳光。
You see this white V-shaped mark on the back of the shrimp?	比尔：你能看到这些虾的背上有v形的记号吗？
It's actually a light-sensing organ.	它们实际上是感光器官。
It's how they find the hydrothermal vents.	它们就是靠它来找到热液出口。
The vents are emitting a black body radiation -- an IR signature -- and so they're able to find these vents at considerable distances.	这些出口发射出一种黑体的辐射－一种红外线－ 所以它们能在很远的距离外找到这些出口
All this stuff is happening along that 40,000-mile long mountain range that we're calling the ribbon of life, because just even today, as we speak, there's life being generated there from volcanic activity.	大卫：所有这些都发生在40000英里长的山脊周围 我们称之为生命带，即使是今天， 此时此刻，生命正诞生于火山活动中。
This is the first time we've ever tried this any place.	这是我们在这里的第一次尝试。
We're going to try to show you high definition from the Pacific.	我们将为您展示高清晰的太平洋画面。
We're moving up one of these pillars.	我们现在沿着根柱子向上走。
This one's several stories tall.	它有好几层楼高。
In it, you'll see that it's a habitat for a lot of different animals.	在这里，你可以看到这是很多种动物的栖息地。
There's a funny kind of hot plate here, with vent water coming out of it.	这有一个滑稽的热盘子状的东西，热液从里面涌出。
So all of these are individual homes for worms.	这些都是蠕虫们单个的家。
Now here's a closer view of that community.	现在可以更近距离地看到这个群体。
Here's crabs here, worms here.	这里有蟹，还有蠕虫。
There are smaller animals crawling around.	这些更小地动物会蜷缩在周围。
Here's pagoda structures.	这是一个塔组织。
I think this is the neatest-looking thing.	我认为这是看上去最精致地一个。
I just can't get over this -- that you've got these little chimneys sitting here smoking away.	我真的太喜欢它了－ 这些小烟囱上冒着烟。
This stuff is toxic as hell, by the way.	对了，这些物质可是带有剧毒的。
You could never get a permit to dump this in the ocean, and it's coming out all from it.	你不能向海里倾倒这些， 但它却从海底自己冒出来。
It's unbelievable.	难以置信。
It's basically sulfuric acid, and it's being just dumped out, at incredible rates.	这些大致上是硫磺酸， 它们以惊人的速度向外涌。
And animals are thriving -- and we probably came from here.	这些动物在努力地生存－而我们也许就是从这里演变来地。
That's probably where we evolved from.	我们很可能是从这里开始进化。
This bacteria that we've been talking about turns out to be the most simplest form of life found.	比尔：我们刚才说到地细菌 是我们所知道的最简单的生命形式。
There are a number of groups that are proposing that life evolved at these vent sites.	有很多科学小组都认为 生命是从这些热液喷口开始进化的。
Although the vent sites are short-lived -- an individual site may last only 10 years or so -- as an ecosystem they've been stable for millions -- well, billions -- of years.	尽管这些喷口的存在时间很短－－ 大概每个只能延续10年左右－－ 但作为一个生态系统，它们已经很稳定地存在了几百万，甚至几十亿年。
It works too well.	大卫：它们运作得太好了。
You see there're some fish inside here as well.	你看这里面有很多鱼。
There's a fish sitting here.	这是一个鱼场。
Here's a crab with his claw right at the end of that tube worm, waiting for that worm to stick his head out.	这只螃蟹把它的钳子放在这只管道蠕虫的尾部， 等着这只蠕虫伸出脑袋。
The biologists right now cannot explain why these animals are so active.	比尔：生物学家现在还不能解释 为什么这些动物如此活跃。
The worms are growing inches per week!	这些蠕虫每星期长好几尺！
I already said that this site, from a human perspective, is toxic as hell.	大卫：我已经说过这里的环境， 从人类的角度来说，是很有毒性的。
Not only that, but on top -- the lifeblood -- that plumbing system turns off every year or so.	不仅如此，更重要的是－它的生命源泉－ 这个向喷涌管路的体系－每隔几年就会自动关闭。
Their plumbing system turns off, so the sites have to move.	一旦这些喷涌管路系统关闭，这些生活环境就迁移。
And then there's earthquakes, and then volcanic eruptions, on the order of one every five years, that completely wipes the area out.	而且这里还有地震， 每隔五年就有一次火山喷发 可以把这里的生存环境完全摧毁。
Despite that, these animals grow back in about a year's time.	尽管如此，这些动物还是会在一年以后又长回来。
You're talking about biodensities and biodiversity, again, higher than the rainforest that just springs back to life.	当我们谈到这的生物密度和生物多样性 比热带雨林还高，它这么快就能长回来。
Is it sensitive?	它是否是很敏感呢？
Yes.	是的。
Is it fragile?	是否是很脆弱呢？
No, it's not really very fragile.	不是，它一点也不脆弱。
I'll end up with saying one thing.	我在结束前还要说一个故事。
There's a story in the sea, in the waters of the sea, in the sediments and the rocks of the sea floor.	这个故事发生在海里，在海中的热液里， 在海底的沉积物和岩石里。
It's an incredible story.	只是一个难以置信的故事。
What we see when we look back in time, in those sediments and rocks, is a record of Earth history.	当我们找寻过去的时候，我们会看到 这些沉积物和岩石是地球历史的一个纪录。
Everything on this planet -- everything -- works by cycles and rhythms.	这个星球上所有的事物－所有的－都有自己的周期和节奏。
The continents move apart.	各个大陆分离后会合拢。
Mountains come and go.	海洋消失后又会回来。
Glaciers come and go.	山脉，冰川都是如此。
El Nino comes and goes.	厄尔尼诺现象也不断出现。
It's not a disaster, it's rhythmic.	它不是一次灾难，而是自身的节奏。
What we're learning now, it's almost like a symphony.	我们现在所研究的，就像一部交响乐。
It's just like music -- it really is just like music.	就是音乐－真的像音乐。
And what we're learning now is that you can't listen to a five-billion-year long symphony, get to today and say, "Stop!	而我们现在学到的是 你不能听了50亿年长的交响乐，但今天你突然说， 停住！
We want tomorrow's note to be the same as it was today."	我们希望明天的乐谱和今天的一样。
It's absurd.	这就很荒唐。
It's just absurd.	真的很荒唐。
So, what we've got to learn now is to find out where this planet's going at all these different scales and work with it.	所以我们现在需要研究的是地球的将来 在各个层面上会是怎样的。
Learn to manage it.	学习掌握它。
The concept of preservation is futile.	而努力去保存现状则是徒劳的。
Conservation's tougher, but we can probably get there.	而去保护它更难，但我们有可能做到。
Thank you very much.	非常感谢。
Thank you.	谢谢。
I'm here today to start a revolution.	我今天来这里的目的 是开启一场革命
Now before you get up in arms, or you break into song, or you pick a favorite color, I want to define what I mean by revolution.	不过在你们揭竿而起 纵情歌唱 或是选择幸运色之前 让我先来为革命下个定义
By revolution, I mean a drastic and far-reaching change in the way we think and behave -- the way we think and the way we behave.	我所谓的革命 是指我们思考和行为上 急剧而深远的变革── 我们思考和行动的方式
Now why, Steve, why do we need a revolution?	也许你会问了：史蒂夫，我们为什么需要一场革命呢？
We need a revolution because things aren't working; they're just not working.	我们需要一场革命 因为事情行不通了；完全行不通了
And that makes me really sad because I'm sick and tired of things not working.	我因此而难过 因为我对行不通的事情感到厌烦
You know, I'm sick and tired of us not living up to our potential.	我受够了看着我们的潜能得不到完全施展
I'm sick and tired of us being last.	我已厌倦我们处于最后一名的窘境
And we are last place in so many things -- for example, social factors.	而我们恰恰在很多事情上都处于最后一名── 比如说，社会的各个方面
We're last place in Europe in innovation.	在创新方面，我们在全欧洲倒数第一
There we are right at the end, right at the bottom, last place as a culture that doesn't value innovation.	是的，在最后，在最底部 被视为最不重视创新的民族
We're last place in health care, and that's important for a sense of well-being.	在医疗方面，我们也是最后一名 而医疗又是幸福感的重要保证
And there we are, not just last in the E.U., we're last in Europe, at the very bottom.	我们不仅在欧盟国家中排在最后 在整个欧洲都是垫底
And worst of all, it just came out three weeks ago, many of you have seen it, The Economist.	而最糟糕的是── 你们也许在三个星期前出版的《经济学人》上读到了──
We're the saddest place on Earth, relative to GDP per capita -- the saddest place on Earth.	就人均GDP而言 我们是世界上最悲催的地方 甚至是整个地球上最悲催的地方
That's social. Let's look at education.	这些只是社会层面，我们再来看看教育
Where do we rank three weeks ago in another report by the OECD?	在另一份由经济合作与发展组织三个星期前发表的报告中 我们的排名又是怎样呢？
Last in reading, math and science. Last.	阅读、数学和科学都垫底
Business: The lowest perception in the E.U.	商业方面： 在所有欧盟国家中
that entrepreneurs provide benefits to society.	我们对创业者为社会带来福利最不看好
Why as a result, what happens?	结果呢？
The lowest percentage of entrepreneurs starting businesses.	我们的自主创业百分比垫底
And this is despite the fact that everybody knows that small business is the engine of economies.	而我们都知道 小型企业 才是经济发展的引擎
We hire the most people; we create the most taxes.	我们小型企业提供最多的就业岗位，在税收方面贡献最高
So if our engine's broken, guess what?	如果引擎坏了，结果又会如何呢？
Last in Europe GDP per capita.	在欧洲人均GDP上，我们再度排名最后
Last.	最后一名
So it's no surprise, guys, that 62 percent of Bulgarians are not optimistic about the future.	难怪62%的保加利亚人 都对未来不抱乐观心态
We're unhappy, we have bad education, and we have the worst businesses.	我们生活不幸福，我们的教育质量很差 我们在商业上也一败涂地
And these are facts, guys.	这些都是血淋淋的事实，朋友们
This isn't story tale; it's not make-believe.	这不是凭空捏造的
It's not.	不是的
The way we think, the way we behave, our operating system of behaving is broken.	我们思考、行为的方式 我们的行为操作系统都已支离破碎
We need a drastic change in the way we think and behave to transform Bulgaria for the better, for ourselves, for our friends, for our family and for our future.	我们必须要在思维与行为方式上作出巨大改变 让保加利亚变得更好 为了我们自己，为了我们的朋友 为了我们的家人和未来
How did this happen?	这一切都是怎么发生的呢？
Let's be positive now. We're going to get positive.	我们应该以积极的心态看待问题。
How did this happen?	这一切都是怎么发生的？
I think we're last because -- and this is going to be drastic to some of you -- because we are handicapping ourselves.	我认为我们处在最后一名的原因在于── 对于你们中的某些人来说，这听起来可能不可思议── 原因在于我们裹住了自己的手脚
We're holding ourselves back because we don't value play.	而我们裹足不前的原因 在于我们不重视玩耍
I said "play," all right.	没错，玩耍
In case some of you forgot what play is, this is what play looks like.	如果在座有人已经忘了玩耍为何物，这就是玩耍
Babies play, kids play, adults play.	婴儿玩耍，孩童玩耍 成年人也玩耍
We don't value play.	而我们不重视玩耍
In fact, we devalue play.	事实上，我们摒弃玩耍
And we devalue it in three areas.	我们从三个方面摒弃玩耍
Let's go back to the same three areas.	我们再从这三个方面来看
Social: 45 years of what?	社会：45年的...
Of communism -- of valuing the society and the state over the individual and squashing, inadvertently, creativity, individual self-expression and innovation.	共产主义-- 社会与国家利益高于个人利益 不经意间，创意、 个人思想表达和创新遭到践踏
And instead, what do we value?	相反，我们重视的是什么？
Because it's shown the way we apply, generate and use knowledge is affected by our social and institutional context, which told us what in communism?	显而易见 我们应用知识的方式 受到了社会与结构背景的影响 共产主义要求我们怎么做？
To be serious.	要严肃
To be really, really serious.	非常非常严肃
It did.	就是这样
Be serious.	（众人鼓掌） 严肃
I can't tell you how many times I've been scolded in the park for letting my kids play on the ground.	我都不记得有多少次，我在公园里被人批评 就因为我让自己的孩子在地上玩耍
Heaven forbid they play in the dirt, the kal, or even worse, lokvi, water -- that will kill them.	他们不能在泥（кал，保加利亚语）里玩耍 或在水里玩耍，他们会有生命危险
I have been told by babas and dyados that we shouldn't let our kids play so much because life is serious and we need to train them for the seriousness of life.	一些人告诉我 我们不该老让孩子去玩 生活是严肃的 我们必须训练他们严肃对待生活
We have a serious meme running through.	我们之中蔓延着一种严肃的文化基因
It's a social gene running through us.	这是我们体内的一种社会基因
It's a serious gene.	一种严肃的基因
It's 45 years of it that's created what I call the "baba factor."	在这45年里 它是由被我称为爸爸因素的东西生成的
And here's how it works.	（众人笑） （众人鼓掌） 情况是这样的
Step one: woman says, "I want to have a baby.	第一步：女人说：我想要个孩子。
Iskam baby."	
Step two: we get the baby.	第二步：我们有了孩子。
Woohoo!	哦吼！
But then what happens in step three?	那么第三步呢？
I want to go back to work because I need to further my career or I just want to go have coffees.	我想回去工作 我想进一步发展事业，或者我只是想偷闲喝喝咖啡
I'm going to give bebko to baba.	我要把孩子交给他爸爸
But we need to remember that baba's been infected by the serious meme for 45 years.	我们别忘了 爸爸已经受到了严肃文化基因45年的影响
So what happens?	结果呢？
She passes that virus on to baby, and it takes a really, really, really long time -- as the redwood trees -- for that serious meme to get out of our operating system.	她将病毒传染给了孩子 必须经过很长很长很长一段时间--就像红木林-- 这严肃文化基因 才能够完全脱离我们的行为体系
What happens then?	接着呢？
It goes into education where we have an antiquated education system that has little changed for 100 years, that values rote learning, memorization and standardization, and devalues self-expression, self-exploration, questioning, creativity and play.	它进入了教育领域，而我们的教育制度抱残守旧 在一百年时间里几乎没有改变 只注重生搬硬套 死记硬背和墨守陈规 摒弃自我思想表达，探寻自我 批判思维，创意和玩乐
It's a crap system.	这是个狗屎体系
True story: I went looking for a school for my kid.	真实故事：我去为孩子找学校
We went to this prestigious little school and they say they're going to study math 10 times a week and science eight times a week and reading five times a day and all this stuff.	我们去到了这所名声在外的小学校 他们说学生每周要学10堂数学 8堂科学 每天学习5堂阅读，如是如是
And we said, "Well what about play and recess?"	我们问：那么，玩耍和休息的时间呢？
And they said, "Ha.	他们说：哈，一分钟都没有。
There won't be a single moment in the schedule."	
And we said, "He's five."	（众人笑） 我们说：他才五岁啊。
But I'm sorry, the problems of today are not the problems of the Industrial Revolution.	很遗憾，今天的问题 并不是工业革命中的问题
We need adaptability, the ability to learn how to be creative and innovative.	我们需要的是适应能力 也就是学会创造革新的能力
We don't need mechanized workers.	我们不需要机械工人
But no, now our meme goes into work where we don't value play.	但不行啊，我们的文化基因使得我们不重视玩乐
We create robotic workers that we treat like assets, to lever and just throw away.	我们生产机械工人，还把他们当作资产 拿起来再丢弃
What are qualities of a Bulgarian work?	保加利亚人的工作有哪些品质？
Autocratic -- do what I say because I'm the chef.	独断专横-- 我是老大，我说的算
I'm the boss and I know better than you.	我是老板，比你更懂
Untrusting -- you're obviously a criminal, so I'm going to install cameras.	不信任--你明显是个罪犯，我得装几个摄像头了
